name;instance_size;time;memory;min_path;path;real result;real path
matrix6_2;6;0,004987001;;80;[0, 5, 1, 2, 3, 0];80; [0, 5, 1, 2, 3, 4, 0]
matrix10;10;1,485665798;;212;[0, 3, 4, 2, 8, 7, 6, 9, 1, 0];212; [0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0]
matrix_my_11;11;18,91391444;;251;[0, 1, 8, 4, 6, 2, 9, 7, 5, 3, 0];251; [0, 1, 8, 4, 6, 2, 9, 7, 5, 3, 10, 0]
;;;;;;;
matrix_my_4;4;0;;38;[1, 2, 3, 0];38; [0, 1, 2, 3, 0]
matrix_my_5;5;0;;42;[1, 4, 3, 2, 0];42; [0, 1, 4, 3, 2, 0]
matrix6_1;6;0;;132;[5, 4, 3, 2, 1, 0];132; [0, 1, 2, 3, 4, 5, 0]
matrix6_2;6;0;;80;[4, 3, 2, 1, 5, 0];80; [0, 5, 1, 2, 3, 4, 0]
matrix10;10;0,004018784;;212;[3, 4, 2, 8, 7, 6, 9, 1, 5, 0];212; [0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0]
matrix_my_11;11;0,008944273;;251;[1, 8, 4, 6, 2, 9, 7, 5, 3, 10, 0];251; [0, 1, 8, 4, 6, 2, 9, 7, 5, 3, 10, 0]
matrix12;12;0,018951178;;264;[1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10, 0];264; [0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10, 0]
matrix13;13;0,045864105;;269;[10, 3, 5, 7, 9, 11, 2, 6, 4, 8, 1, 12, 0];269; [0, 10, 3, 5, 7, 9, 11, 2, 6, 4, 8, 1, 12, 0]
matrix14;14;0,108699799;;282;[10, 3, 5, 7, 9, 13, 11, 2, 6, 4, 8, 1, 12, 0];282; [0, 10, 3, 5, 7, 9, 13, 11, 2, 6, 4, 8, 1, 12, 0]
matrix15;15;0,25271821;;291;[10, 3, 5, 7, 9, 13, 11, 2, 6, 4, 8, 14, 1, 12, 0];291; [0, 12, 1, 14, 8, 4, 6, 2, 11, 13, 9, 7, 5, 3, 10, 0]
matrix17;17;1,3498981;;39;[2, 13, 1, 9, 10, 12, 5, 6, 14, 15, 3, 4, 7, 8, 16, 11, 0];39; [0, 11, 13, 2, 9, 10, 1, 12, 15, 14, 5, 6, 3, 4, 7, 8, 16, 0]
;;;;;;;
matrix_my_4;4;0;;38;[0, 1, 2, 3, 0];38; [0, 1, 2, 3, 0]
matrix_my_5;5;0;;42;[0, 1, 4, 3, 2, 0];42; [0, 1, 4, 3, 2, 0]
matrix6_1;6;0,00099802;;132;[0, 5, 4, 3, 2, 1, 0];132; [0, 1, 2, 3, 4, 5, 0]
matrix6_2;6;0;;80;[0, 4, 3, 2, 1, 5, 0];80; [0, 5, 1, 2, 3, 4, 0]
matrix10;10;0,003988504;;212;[0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0];212; [0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0]
matrix_my_11;11;0,007981777;;251;[0, 1, 8, 4, 6, 2, 9, 7, 5, 3, 10, 0];251; [0, 1, 8, 4, 6, 2, 9, 7, 5, 3, 10, 0]
matrix12;12;0,018948793;;264;[0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10, 0];264; [0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10, 0]
matrix13;13;0,044879436;;269;[0, 10, 3, 5, 7, 9, 11, 2, 6, 4, 8, 1, 12, 0];269; [0, 10, 3, 5, 7, 9, 11, 2, 6, 4, 8, 1, 12, 0]
matrix14;14;0,108684301;;282;[0, 10, 3, 5, 7, 9, 13, 11, 2, 6, 4, 8, 1, 12, 0];282; [0, 10, 3, 5, 7, 9, 13, 11, 2, 6, 4, 8, 1, 12, 0]
matrix15;15;0,251364708;;291;[0, 10, 3, 5, 7, 9, 13, 11, 2, 6, 4, 8, 14, 1, 12, 0];291; [0, 12, 1, 14, 8, 4, 6, 2, 11, 13, 9, 7, 5, 3, 10, 0]
matrix17;17;1,379799366;;39;[0, 2, 13, 1, 9, 10, 12, 5, 6, 14, 15, 3, 4, 7, 8, 16, 11, 0];39; [0, 11, 13, 2, 9, 10, 1, 12, 15, 14, 5, 6, 3, 4, 7, 8, 16, 0]
;;;;;;;
;;;;;;;
matrix_my_4;4;0;;38;[0, 1, 2, 3, 0];38; [0, 1, 2, 3, 0]
matrix_my_5;5;0;;42;[0, 1, 4, 3, 2, 0];42; [0, 1, 4, 3, 2, 0]
matrix6_1;6;0;;132;[0, 5, 4, 3, 2, 1, 0];132; [0, 1, 2, 3, 4, 5, 0]
matrix6_2;6;0,001006842;;80;[0, 4, 3, 2, 1, 5, 0];80; [0, 5, 1, 2, 3, 4, 0]
matrix10;10;0,002980709;;212;[0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0];212; [0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0]
matrix_my_11;11;0,007980108;;251;[0, 1, 8, 4, 6, 2, 9, 7, 5, 3, 10, 0];251; [0, 1, 8, 4, 6, 2, 9, 7, 5, 3, 10, 0]
matrix12;12;0,018948317;;264;[0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10, 0];264; [0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10, 0]
matrix13;13;0,044881105;;269;[0, 10, 3, 5, 7, 9, 11, 2, 6, 4, 8, 1, 12, 0];269; [0, 10, 3, 5, 7, 9, 11, 2, 6, 4, 8, 1, 12, 0]
matrix14;14;0,102727175;;282;[0, 10, 3, 5, 7, 9, 13, 11, 2, 6, 4, 8, 1, 12, 0];282; [0, 10, 3, 5, 7, 9, 13, 11, 2, 6, 4, 8, 1, 12, 0]
matrix15;15;0,241348982;;291;[0, 10, 3, 5, 7, 9, 13, 11, 2, 6, 4, 8, 14, 1, 12, 0];291; [0, 12, 1, 14, 8, 4, 6, 2, 11, 13, 9, 7, 5, 3, 10, 0]
matrix17;17;1,297657728;;39;[0, 2, 13, 1, 9, 10, 12, 5, 6, 14, 15, 3, 4, 7, 8, 16, 11, 0];39; [0, 11, 13, 2, 9, 10, 1, 12, 15, 14, 5, 6, 3, 4, 7, 8, 16, 0]
;;;;;;;
;;;;;;;
matrix_my_4;4;0;;38;[0, 1, 2, 3, 0];38; [0, 1, 2, 3, 0]
matrix_my_5;5;0;;42;[0, 1, 4, 3, 2, 0];42; [0, 1, 4, 3, 2, 0]
matrix6_1;6;0,000996351;;132;[0, 5, 4, 3, 2, 1, 0];132; [0, 1, 2, 3, 4, 5, 0]
